dataset,method,status,seed,n_samples,n_features,n_clusters,ACC,NMI,ARI,AMI,RI,FMI,elapsed_seconds,error_type,error
cnae9,HDPC,completed,42,1080,856,9,0.14444444444444443,0.06814834945253632,0.0006406532916034604,0.04312209245067793,0.17152198537740707,0.3197337272142055,0.9951235549524426,,
cnae9,V9,completed,42,1080,856,9,0.5824074074074074,0.5706491569416453,0.30920414064395163,0.5640263803988155,0.8087255002917654,0.4323467946166297,8.595797777175903,,
coil20,AHDPC,completed,42,1440,400,20,0.48333333333333334,0.7623405049827476,0.3746153874329258,0.7500094886402391,0.8876563585823488,0.4828625078439958,0.8971610306762159,,
coil20,HDPC,completed,42,1440,400,20,0.5305555555555556,0.7474472047847674,0.44444770157530084,0.7345865090621774,0.9241892517952282,0.5081730720891298,0.5968144587241113,,
coil20,V9,completed,42,1440,400,20,0.6722222222222223,0.797483819884242,0.6105552493597886,0.7875867754307062,0.9598177746892131,0.6344882204287827,10.372522354125977,,
credit_risk_classification,AHDPC,completed,42,976,11,2,0.6004098360655737,0.002987456009568874,-0.01988613323246114,0.0020577400800200455,0.519672131147541,0.6229062102359948,0.05957086104899645,,
credit_risk_classification,HDPC,completed,42,976,11,2,0.6014344262295082,0.00288021284453458,-0.01966796230916253,0.0019496675829687713,0.5200861706599411,0.6234394723825167,0.04320822795853019,,
credit_risk_classification,V9,completed,42,976,11,2,0.5809426229508197,0.0035015323484799163,-0.01836688111265613,0.0025900350641388467,0.5126040353089534,0.6120715693221258,6.6512837409973145,,
crowdsourced_mapping,AHDPC,completed,42,9997,28,4,0.6424927478243473,0.08203055474104362,0.03528963109841129,0.08145911521587083,0.5354128447417779,0.6249381215063734,13.301439482718706,,
crowdsourced_mapping,HDPC,completed,42,9997,28,4,0.6802040612183655,0.07819998534904742,0.06116384755721546,0.07759093996348192,0.5562110009553486,0.6705469716364074,9.41488087689504,,
crowdsourced_mapping,V9,completed,42,9997,28,4,0.4939481844553366,0.27446265637132006,0.09256032131827456,0.2741472693213395,0.530693882034158,0.4862977832447925,78.48846888542175,,
customer_classification,AHDPC,completed,42,1000,11,4,0.294,0.00804384138994491,0.004556945742336267,0.00478951569914177,0.6253333333333333,0.2547965177934615,0.07174876006320119,,
customer_classification,HDPC,completed,42,1000,11,4,0.294,0.007920446700579531,0.004498014367158225,0.004664851073511349,0.6251251251251251,0.2549399433126094,0.04496926721185446,,
customer_classification,V9,completed,42,1000,11,4,0.322,0.017728900927317444,0.012617208529133207,0.01437511304865243,0.6074114114114114,0.28117231841066315,6.662334203720093,,
date_fruit,AHDPC,completed,42,898,34,7,0.6592427616926503,0.6106721736012759,0.5455186162721819,0.6057320169579881,0.8344121583203601,0.668545512868302,0.07019608793780208,,
date_fruit,HDPC,completed,42,898,34,7,0.6614699331848553,0.627351222742163,0.567622876436276,0.6227115580721145,0.8455306354018468,0.6819576490980218,0.03165725897997618,,
date_fruit,V9,completed,42,898,34,7,0.7216035634743875,0.7193250985591872,0.6948579929961833,0.7161525886046145,0.9148535206441665,0.7460125812666127,6.563637018203735,,
dermatology,AHDPC,completed,42,358,34,6,0.6899441340782123,0.7668575671506046,0.5855987461998275,0.7612801675887373,0.8385521806487959,0.7050336458393949,0.013691190164536238,,
dermatology,HDPC,completed,42,358,34,6,0.6201117318435754,0.7034412373802695,0.4796114337250443,0.6960135100446032,0.8036085942756991,0.6152741136512073,0.009732386097311974,,
dermatology,V9,completed,42,358,34,6,0.9553072625698324,0.9232285480673846,0.924389479607995,0.9215148521982097,0.9757444877392297,0.9395625507104528,3.133118152618408,,
diabetic_retinopathy_debrecen,AHDPC,completed,42,1151,19,2,0.5308427454387489,0.0012954748250051773,0.002506761472488492,0.0006307838304034489,0.501469421674914,0.5375366886847585,0.0915927030146122,,
diabetic_retinopathy_debrecen,HDPC,completed,42,1151,19,2,0.5299739357080799,0.0011840727615986093,0.0022990516069032996,0.0005196671578352974,0.5013636535337891,0.5371282569728129,0.06301378784701228,,
diabetic_retinopathy_debrecen,V9,completed,42,1151,19,2,0.5412684622067767,0.005951111426981248,0.005912200926956517,0.005323006905574519,0.5029743512257772,0.5067859972785843,7.9109947681427,,
dilbert,AHDPC,completed,42,10000,2000,5,0.2079,0.0075087608149186115,0.00020213243284839498,0.00650590385975842,0.20462964296429642,0.445788423546454,341.26070044282824,,
dilbert,HDPC,completed,42,10000,2000,5,0.2075,0.0066110222780060264,0.0001006414933977462,0.005503879523070367,0.20407356735673568,0.44587567799002154,188.8717391360551,,
dilbert,V9,completed,42,10000,2000,5,0.3658,0.1813420114117072,0.10828578074698056,0.18092063930290025,0.6916971297129713,0.3053444449587978,85.50745487213135,,
dry_bean,AHDPC,completed,42,9997,16,7,0.3455036510953286,0.2577799253357237,0.12501002887789406,0.2566718759254642,0.4607607972667911,0.45477705253150313,13.054048310033977,,
dry_bean,HDPC,completed,42,9997,16,7,0.2756827048114434,0.033294284600195324,0.00743096016674722,0.03165211715118694,0.20945115067133185,0.413116482662547,9.560278500895947,,
dry_bean,V9,completed,42,9997,16,7,0.8673602080624188,0.7468541211371736,0.6997951965141417,0.7466044930782387,0.9141324230002094,0.7517050418462055,81.98891186714172,,
durum_wheat_features,AHDPC,completed,42,9000,236,3,0.47833333333333333,0.25358469394198746,0.10195063507315576,0.2533702663149245,0.4793344692620168,0.5558814329359305,34.269451746717095,,
durum_wheat_features,HDPC,completed,42,9000,236,3,0.48355555555555557,0.1815523231751681,0.116458965920152,0.18135236615454914,0.5432856243286291,0.498665792701477,22.074023507069796,,
durum_wheat_features,V9,completed,42,9000,236,3,0.492,0.5470782783302858,0.37773536010069336,0.5469741192279043,0.6840841821930832,0.6471693338719928,69.71209788322449,,
echocardiogram,AHDPC,completed,42,61,10,2,0.8524590163934426,0.3193237901350003,0.45283510687233586,0.30809167789186404,0.7442622950819672,0.8005225090809629,0.0019004270434379578,,
echocardiogram,HDPC,completed,42,61,10,2,0.7049180327868853,0.09408930395665493,0.14712335827779638,0.08162716780455964,0.5770491803278689,0.6214046542668504,0.0012425160966813564,,
echocardiogram,V9,completed,42,61,10,2,0.8032786885245902,0.26673994778536897,0.3520782101645275,0.25665287557670396,0.6786885245901639,0.7128455290244724,3.1543760299682617,,
ecoli,AHDPC,completed,42,327,7,5,0.5045871559633027,0.4519148722102994,0.30537830756122514,0.44068301520067893,0.6940395114538189,0.530517916089887,0.008372356183826923,,
ecoli,HDPC,completed,42,327,7,5,0.4984709480122324,0.4494195453331638,0.28049590891489634,0.4388289790146424,0.6730080111067335,0.5253238209581973,0.006295810919255018,,
ecoli,V9,completed,42,327,7,5,0.8287461773700305,0.7052236527968739,0.7439203491596732,0.6993514117008293,0.8902084388660626,0.8253296360728946,2.89506196975708,,
enron,AHDPC,completed,42,9999,4096,2,0.5022502250225023,0.000593454886046168,-5.850089757540858e-06,0.0004074739973656199,0.4999601180362085,0.7068664130209152,727.2655929508619,,
enron,HDPC,completed,42,9999,4096,2,0.5028502850285028,0.0006022541347118223,6.392678194771592e-06,0.0004162748834951217,0.499966239872637,0.7068707432722865,485.2865934269503,,
enron,V9,completed,42,9999,4096,2,0.9735973597359736,0.8488265507301425,0.8971675685917074,0.8488156334342525,0.9485837761611728,0.9486373604184062,93.28815841674805,,
epileptic_seizure_recognition,AHDPC,completed,42,5750,178,5,0.20034782608695653,0.0013861583026922794,2.7262246913382684e-07,3.3791829137509207e-07,0.20069601518600588,0.4467472087898749,12.006509006023407,,
epileptic_seizure_recognition,HDPC,completed,42,5750,178,5,0.20017391304347826,0.0013867207199439238,7.267825894034213e-07,9.011160341955837e-07,0.2006963781980987,0.44674761507365673,8.3907241220586,,
epileptic_seizure_recognition,V9,completed,42,5750,178,5,0.23721739130434782,0.16794573216531433,0.02729348545099134,0.16681343567616524,0.3296386365870813,0.42692767983215585,43.09763550758362,,
extyaleb,AHDPC,completed,42,319,30,5,0.6990595611285266,0.6826364209372775,0.5281215184981216,0.6767011816200971,0.8178466512884209,0.658954855770314,0.010429889895021915,,
extyaleb,HDPC,completed,42,319,30,5,0.6551724137931034,0.6296153644043773,0.440516452468841,0.6228019690409764,0.7795390469430807,0.5959350025522108,0.007525834254920483,,
extyaleb,V9,completed,42,319,30,5,0.7210031347962382,0.6040435191708293,0.3701835118726345,0.5971365337124825,0.7613414562015733,0.5315596849361172,2.8303160667419434,,
fabert,AHDPC,completed,42,8237,800,7,0.2362510622799563,0.005763402472148417,6.800438600629607e-05,0.0031710904038706965,0.17020777674128565,0.4011048180686567,58.24209124967456,,
fabert,HDPC,completed,42,8237,800,7,0.2373436930921452,0.015519123215969138,0.001965373822012498,0.012916083443418555,0.17454106528290741,0.4022337528787052,40.28091135714203,,
fabert,V9,completed,42,8237,800,7,0.19363846060458906,0.0157581048143468,0.004051239405403427,0.014541705913852312,0.684770586149762,0.19591775783623222,67.25974321365356,,
fashion_mnist,AHDPC,completed,42,3000,784,10,0.108,0.018280731609685092,0.00011782719239229353,0.010651160136703265,0.11781660553517839,0.31234713312965917,6.618723419029266,,
fashion_mnist,HDPC,completed,42,3000,784,10,0.116,0.031008086110766147,0.0005054721346035333,0.02355690463559075,0.14404112481938425,0.3076772820785692,4.370896349195391,,
fashion_mnist,V9,completed,42,3000,784,10,0.5503333333333333,0.5415004757115632,0.37279017564527983,0.538741015505089,0.8821109258641769,0.43901599034106126,26.219053030014038,,
fbis.wc,AHDPC,completed,42,2196,2000,11,0.23041894353369763,0.010024236940431102,-0.0007462175772558268,-0.00034060406917404523,0.14412910614038363,0.36488566682316076,8.366380182094872,,
fbis.wc,HDPC,completed,42,2196,2000,11,0.22358834244080145,0.01980754421995752,-0.0033682870377268726,0.008361650152622451,0.1543535357307343,0.3586725474610628,5.58867520885542,,
fbis.wc,V9,completed,42,2196,2000,11,0.4453551912568306,0.4448895386430358,0.3042893187319297,0.43871164776504395,0.8381604988983905,0.3977760428404337,18.460726737976074,,
fetal_health_classification,AHDPC,completed,42,2126,21,3,0.7775164628410159,0.0006898426817265867,-0.0014940459265562428,-0.0011726710848775532,0.6308826296275801,0.7938453251517402,0.610217859968543,,
fetal_health_classification,HDPC,completed,42,2126,21,3,0.6566321730950141,0.03342906780272986,-0.09835621588249402,0.03160591088660478,0.5292683304742405,0.6676637837202859,0.6043682941235602,,
fetal_health_classification,V9,completed,42,2126,21,3,0.5997177798682972,0.17437251405705037,0.12822001716546852,0.17345252183029133,0.5362036411930717,0.5589063039899029,15.728435039520264,,
first-order-theorem-proving,AHDPC,completed,42,6118,51,6,0.2618502778685845,0.05232145072897072,0.013127743412892025,0.05109231113520757,0.6343501780658012,0.25544032972163777,6.5727460528723896,,
first-order-theorem-proving,HDPC,completed,42,6118,51,6,0.2461588754494933,0.05044836495760483,0.004609125617637856,0.04918055708470219,0.6195300926901983,0.26040646816826574,4.1824540249072015,,
first-order-theorem-proving,V9,completed,42,6118,51,6,0.2567832625040863,0.05695801370134079,0.032174732165462606,0.05578728273108888,0.6646396146880411,0.24555472576003293,42.554139614105225,,
