dataset,n_samples,n_features,n_clusters,AHDPC_ACC,AHDPC_NMI,AHDPC_ARI,AHDPC_AMI,AHDPC_RI,AHDPC_FMI,HDPC_ACC,HDPC_NMI,HDPC_ARI,HDPC_AMI,HDPC_RI,HDPC_FMI,V9_ACC,V9_NMI,V9_ARI,V9_AMI,V9_RI,V9_FMI,delta_ACC_V9_minus_AHDPC,delta_NMI_V9_minus_AHDPC,delta_ARI_V9_minus_AHDPC,delta_AMI_V9_minus_AHDPC,delta_RI_V9_minus_AHDPC,delta_FMI_V9_minus_AHDPC,delta_ACC_V9_minus_HDPC,delta_NMI_V9_minus_HDPC,delta_ARI_V9_minus_HDPC,delta_AMI_V9_minus_HDPC,delta_RI_V9_minus_HDPC,delta_FMI_V9_minus_HDPC
breast_cancer_wisconsin_prognostic,569,30,2,0.6045694200351494,0.028100988093071273,-0.016528617786023058,0.025762423959366752,0.5210277482115894,0.707183650482158,0.5957820738137083,0.026108051746810048,-0.020830810999004308,0.02393319277688525,0.517500433179039,0.6969404861660565,0.9156414762741653,0.5775041632499884,0.688151993189131,0.5769268199287223,0.8452436941508453,0.8583998305525636,0.3110720562390159,0.5494031751569172,0.7046806109751541,0.5511643959693555,0.32421594593925596,0.1512161800704056,0.31985940246045697,0.5513961115031784,0.7089828041881353,0.5529936271518371,0.3277432609718063,0.1614593443865071
breast_tissue,106,9,6,0.5094339622641509,0.4302259717987634,0.31839461043689754,0.3801980966901457,0.7852650494159928,0.45326181133233717,0.3867924528301887,0.31354771300088324,0.18317177886956137,0.24809404823227557,0.687151841868823,0.3828301133006712,0.5188679245283019,0.5342516945054937,0.32118066220283803,0.49469747721604945,0.8001796945193171,0.44342313688466106,0.009433962264150941,0.10402572270673033,0.0027860517659404893,0.11449938052590375,0.014914645103324298,-0.00983867444767611,0.13207547169811318,0.22070398150461046,0.13800888333327666,0.24660342898377388,0.11302785265049409,0.06059302358398988
cardiovascular_study,2927,15,2,0.5138366928595832,0.0009700707981768491,0.0005736489835720918,0.0006645404785747747,0.5002121572527772,0.6094650429151395,0.580116159890673,0.0020733006325992748,-0.012006673704078746,0.001757133590935012,0.5126707036871926,0.6275027517123261,0.5835326272634096,0.02228607093577536,0.02484370431591253,0.02198623997951979,0.5137892873314447,0.6212175900329115,0.06969593440382638,0.021316000137598514,0.02427005533234044,0.021321699500945014,0.013577130078667454,0.011752547117772072,0.003416467372736598,0.020212770303176086,0.036850378019991276,0.02022910638858478,0.0011185836442521024,-0.006285161679414508
cifar10,3250,1024,10,0.10153846153846154,0.005483868747794936,1.019070749443605e-06,1.9802348299771166e-06,0.10415228354286526,0.31491629467017823,0.10123076923076924,0.005485505729475421,1.8647823369128955e-06,3.626239743758903e-06,0.10415304117243175,0.3149174975819782,0.22338461538461538,0.07875757554908643,0.04031114261246032,0.07369424914573526,0.8253459289248763,0.13746650125650262,0.12184615384615384,0.07327370680129149,0.040310123541710874,0.07369226891090529,0.7211936453820111,-0.17744979341367562,0.12215384615384614,0.073272069819611,0.040309277830123405,0.0736906229059915,0.7211928877524446,-0.17745099632547556
classification_in_asteroseismology,1001,3,2,0.9040959040959041,0.581500190341839,0.6489888012391813,0.5811679331371846,0.8264135864135864,0.8462233223458069,0.9070929070929071,0.5889353968800579,0.6586435952040034,0.5886086401165616,0.8312807192807192,0.8507143089544794,0.9040959040959041,0.581500190341839,0.6489888012391813,0.5811679331371846,0.8264135864135864,0.8462233223458069,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029970029970030065,-0.007435206538218941,-0.00965479396482205,-0.007440706979376932,-0.004867132867132806,-0.004490986608672531
cnae9,1080,856,9,0.125,0.03894400528349961,0.00017932835855057186,0.015962892444717908,0.1446778567260495,0.3249558050981275,0.14444444444444443,0.06814834945253632,0.0006406532916034604,0.04312209245067793,0.17152198537740707,0.3197337272142055,0.5824074074074074,0.5706491569416453,0.30920414064395163,0.5640263803988155,0.8087255002917654,0.4323467946166297,0.4574074074074074,0.5317051516581457,0.3090248122854011,0.5480634879540975,0.6640476435657159,0.10739098951850223,0.43796296296296294,0.502500807489109,0.3085634873523482,0.5209042879481376,0.6372035149143583,0.11261306740242422
coil20,1440,400,20,0.48333333333333334,0.7623405049827476,0.3746153874329258,0.7500094886402391,0.8876563585823488,0.4828625078439958,0.5305555555555556,0.7474472047847674,0.44444770157530084,0.7345865090621774,0.9241892517952282,0.5081730720891298,0.6722222222222223,0.797483819884242,0.6105552493597886,0.7875867754307062,0.9598177746892131,0.6344882204287827,0.18888888888888894,0.03514331490149436,0.23593986192686278,0.037577286790467124,0.07216141610686433,0.1516257125847869,0.14166666666666672,0.050036615099474546,0.16610754778448772,0.05300026636852884,0.03562852289398499,0.12631514833965296
credit_risk_classification,976,11,2,0.6004098360655737,0.002987456009568874,-0.01988613323246114,0.0020577400800200455,0.519672131147541,0.6229062102359948,0.6014344262295082,0.00288021284453458,-0.01966796230916253,0.0019496675829687713,0.5200861706599411,0.6234394723825167,0.5809426229508197,0.0035015323484799163,-0.01836688111265613,0.0025900350641388467,0.5126040353089534,0.6120715693221258,-0.01946721311475408,0.0005140763389110425,0.0015192521198050118,0.0005322949841188012,-0.007068095838587585,-0.010834640913868987,-0.020491803278688492,0.0006213195039453364,0.0013010811965064005,0.0006403674811700753,-0.00748213535098774,-0.011367903060390927
crowdsourced_mapping,9997,28,4,0.6424927478243473,0.08203055474104362,0.03528963109841129,0.08145911521587083,0.5354128447417779,0.6249381215063734,0.6802040612183655,0.07819998534904742,0.06116384755721546,0.07759093996348192,0.5562110009553486,0.6705469716364074,0.4939481844553366,0.27446265637132006,0.09256032131827456,0.2741472693213395,0.530693882034158,0.4862977832447925,-0.14854456336901067,0.19243210163027644,0.05727069021986327,0.19268815410546863,-0.004718962707619845,-0.1386403382615809,-0.1862558767630289,0.19626267102227263,0.0313964737610591,0.19655632935785755,-0.025517118921190574,-0.18424918839161492
customer_classification,1000,11,4,0.294,0.00804384138994491,0.004556945742336267,0.00478951569914177,0.6253333333333333,0.2547965177934615,0.294,0.007920446700579531,0.004498014367158225,0.004664851073511349,0.6251251251251251,0.2549399433126094,0.322,0.017728900927317444,0.012617208529133207,0.01437511304865243,0.6074114114114114,0.28117231841066315,0.028000000000000025,0.009685059537372535,0.00806026278679694,0.00958559734951066,-0.01792192192192188,0.026375800617201628,0.028000000000000025,0.009808454226737913,0.008119194161974982,0.00971026197514108,-0.017713713713713664,0.026232375098053762
date_fruit,898,34,7,0.6592427616926503,0.6106721736012759,0.5455186162721819,0.6057320169579881,0.8344121583203601,0.668545512868302,0.6614699331848553,0.627351222742163,0.567622876436276,0.6227115580721145,0.8455306354018468,0.6819576490980218,0.7216035634743875,0.7193250985591872,0.6948579929961833,0.7161525886046145,0.9148535206441665,0.7460125812666127,0.062360801781737196,0.10865292495791135,0.14933937672400144,0.11042057164662644,0.08044136232380639,0.07746706839831075,0.060133630289532225,0.09197387581702421,0.12723511655990738,0.09344103053249997,0.06932288524231967,0.06405493216859093
dermatology,358,34,6,0.6899441340782123,0.7668575671506046,0.5855987461998275,0.7612801675887373,0.8385521806487959,0.7050336458393949,0.6201117318435754,0.7034412373802695,0.4796114337250443,0.6960135100446032,0.8036085942756991,0.6152741136512073,0.9553072625698324,0.9232285480673846,0.924389479607995,0.9215148521982097,0.9757444877392297,0.9395625507104528,0.26536312849162014,0.15637098091678003,0.33879073340816745,0.16023468460947243,0.13719230709043384,0.23452890487105793,0.3351955307262571,0.2197873106871151,0.4447780458829507,0.2255013421536065,0.17213589346353064,0.3242884370592455
diabetic_retinopathy_debrecen,1151,19,2,0.5308427454387489,0.0012954748250051773,0.002506761472488492,0.0006307838304034489,0.501469421674914,0.5375366886847585,0.5299739357080799,0.0011840727615986093,0.0022990516069032996,0.0005196671578352974,0.5013636535337891,0.5371282569728129,0.5412684622067767,0.005951111426981248,0.005912200926956517,0.005323006905574519,0.5029743512257772,0.5067859972785843,0.010425716768027837,0.004655636601976071,0.003405439454468025,0.00469222307517107,0.001504929550863121,-0.030750691406174147,0.011294526498696777,0.004767038665382639,0.0036131493200532174,0.0048033397477392215,0.0016106976919880722,-0.030342259694228546
dilbert,10000,2000,5,0.2079,0.0075087608149186115,0.00020213243284839498,0.00650590385975842,0.20462964296429642,0.445788423546454,0.2075,0.0066110222780060264,0.0001006414933977462,0.005503879523070367,0.20407356735673568,0.44587567799002154,0.3658,0.1813420114117072,0.10828578074698056,0.18092063930290025,0.6916971297129713,0.3053444449587978,0.1579,0.17383325059678859,0.10808364831413217,0.17441473544314184,0.48706748674867484,-0.14044397858765617,0.15830000000000002,0.17473098913370116,0.10818513925358281,0.1754167597798299,0.4876235623562356,-0.14053123303122372
