dataset_name,panel_candidate,record_count,protocol_count,ready_to_reuse,missing_metadata
secom,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
seeds,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
seismic_bumps,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
sentiment_labeld_sentences,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
shuttle,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
siberian_weather_stats,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
skillcraft1_master_table_dataset,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
smoker_condition,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
sms_spam_collection,clubench,74,7,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
spambase,clubench,77,8,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
spectf_heart,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
statlog_german_credit,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
statlog_image_segmentation,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
steel-plates-fault,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
street_view_house_numbers,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
student_grade,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
synthetic_control,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
tamilnadu-electricity,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
tr45.wc,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
turkish_music_emotion,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
user_knowledge_modeling,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
vehicle,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
wall-robot-navigation,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
water_quality,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
weather,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
website_phishing,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
wine,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
wine_customer,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
wine_quality,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
wireless_indoor_localization,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
world12d,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
worm_neuron_cell,biology_candidate,4,2,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
wos,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
yeast,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
zoo,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
