ACC_mean,ACC_std,ARI_mean,ARI_std,NMI_mean,NMI_std,dataset_id,n_seeds,parameterization
0.617815200531797,0.02633165504647281,0.5364263493659549,0.03616754946472381,0.6532491204592008,0.01352074903244309,Melanoma_5K,5,topology
0.5184517497348887,0.017067900624476242,0.3869188332557866,0.007662069682103103,0.6825809942636555,0.005238103463480626,Mouse_Pancreas_1,5,topology
0.9908285440613028,0.001216913404911129,0.9675539289124593,0.004299573305739216,0.938309561329371,0.004759797207070778,Mouse_retina,5,topology
0.57325,0.002994787137677732,0.021254116147187557,0.0017303614880557025,0.01791379031020844,0.001874691268965907,PCam,5,topology
0.4355220325526002,0.018990528139246184,0.18245703129738786,0.021817671243815253,0.38168667449940263,0.02484082324153763,PRJNA895163,5,topology
0.9388704318936878,0.002971518906976484,0.959405042505011,0.0036923281991968816,0.9574901036968312,0.005888586155921071,Pollen,5,topology
0.544681742043551,0.0027543649529845307,0.3157703356540691,0.005899416928994234,0.5442889852268322,0.003003894629830273,Quake_10x_Spleen,5,topology
0.48400954653937944,0.061524453676681856,0.4153614725313373,0.06133365138398624,0.7067463834851744,0.022697124765022503,Quake_Smart-seq2_Lung,5,topology
0.5319269474468877,0.03329245988645067,0.4079131979785585,0.017524821033130654,0.7192906387177969,0.01618634166636052,Shekhar,5,topology
0.4673550212164074,0.017573979945387397,0.34907605453301616,0.015223229787938001,0.6779422560718191,0.004542746121490757,TabulaSapiens_Pancreas,5,topology
0.5402486069438491,0.017111593851449513,0.45585740807313807,0.004641551039588935,0.6797936994671756,0.0019965311326116844,Tosches,5,topology
0.9864481563189411,0.0033145861044822883,0.9413126667371372,0.014063474711150891,0.8847714341708708,0.021304890067483324,Wang,5,topology
0.5070400000000002,0.006702835221009114,0.2515237376545862,0.0004924823015352268,0.36850006517044476,0.0017101673299334645,Waveform,5,topology
0.5867722075637642,0.026021354973052968,0.4733219485948972,0.013377228984333163,0.617447282438646,0.010311405529266175,Young,5,topology
0.5583090379008746,0.004638455561719344,0.012880290702900721,0.0021536129017117795,0.011264472806708168,0.002223379712140191,banknote_authentication,5,topology
0.44794188861985473,0.01677531048492859,0.23885710698966744,0.021564398675682304,0.2663807690979926,0.0165003797411755,birds_bones_and_living_habits,5,topology
0.5478609625668449,0.007527106021529001,-0.017485271614663463,0.012020017310208544,0.006913036053391391,0.00584107797630585,blood_transfusion_service_center,5,topology
0.9116883116883117,0.016298571945468993,0.7288167440501208,0.04624628070360828,0.7313877491032559,0.03891557828210929,boston,5,topology
0.5517241379310345,0.016127833563680798,0.002841372106131864,0.006919715101187453,0.014074029075469532,0.009187965441935139,breast_cancer_coimbra,5,topology
0.973060029282577,0.002220461330615405,0.89433347627884,0.008482568281549002,0.8192313783841794,0.015469948262750086,breast_cancer_wisconsin_original,5,topology
0.9251318101933215,0.0020038232427049734,0.7206217883367416,0.006863476381098311,0.6088681887239226,0.008991279787029311,breast_cancer_wisconsin_prognostic,5,topology
0.5226415094339624,0.010756371934897526,0.30934976305650885,0.013916417378446662,0.5260487675358421,0.009442440083190057,breast_tissue,5,topology
0.59234711308507,0.06097240973921507,0.0320835094013441,0.02897735535474923,0.016308000421815152,0.014811045177724436,cardiovascular_study,5,topology
0.21999999999999997,0.005694386314868229,0.03689654923168838,0.0020519628426867347,0.07367396272102386,0.00556194330161937,cifar10,5,topology
0.9332667332667333,0.008158847947690466,0.7462182057592603,0.027937650955444336,0.6499817477923038,0.01820662460465646,classification_in_asteroseismology,5,topology
0.5694444444444444,0.019510469912690287,0.32732772208845906,0.021151351671344947,0.5190978724942831,0.02010625224708352,cnae9,5,topology
0.672638888888889,0.018099572414975378,0.6283571515308558,0.019049936681531685,0.8070015097661845,0.009613694330112159,coil20,5,topology
0.5799180327868851,0.0034745542946338524,-0.017851809118706118,0.0009978515590494826,0.0033763460450515342,0.00016380825817719334,credit_risk_classification,5,topology
0.49952985895768726,0.024541563087654455,0.14512545333226443,0.06500640922219086,0.2811853370941438,0.04704831812828071,crowdsourced_mapping,5,topology
0.327,0.008972179222463189,0.01416999660294711,0.003265332741823361,0.02023564487902632,0.0028988097909347994,customer_classification,5,topology
0.6812917594654788,0.007609955262035604,0.634804839079979,0.005322823975600193,0.6865887452439619,0.005548636212874814,date_fruit,5,topology
0.9424581005586592,0.013190747433650939,0.9053029683405229,0.022595829646457472,0.9126039447225022,0.015643067999725667,dermatology,5,topology
0.535881841876629,0.0026352303888971433,0.004292358198744515,0.0007630562664990732,0.004295687379602979,0.0005610859335621071,diabetic_retinopathy_debrecen,5,topology
0.36728,0.01757148257831421,0.11059309755310746,0.015000561184787374,0.16494884321592324,0.020952323582662215,dilbert,5,topology
0.8025807742322696,0.081921511683097,0.6279967018668955,0.07838042682805224,0.6946810977435607,0.052639208289345644,dry_bean,5,topology
0.4880000000000001,0.00035136418446315114,0.36689557286868346,0.0009472978960576385,0.5313455486415437,0.0011173741773422119,durum_wheat_features,5,topology
