acc,ari,dataset,f1_macro,nmi,seed,variant
0.5940068007934259,0.49469982614479685,TabulaSapiens_Pancreas,0.46190879865672474,0.7317184123781684,3407,fixed
0.6976480589402096,0.5843604075377967,TabulaSapiens_Pancreas,0.5149470461713658,0.7441122549229109,42,gate_coupled
0.640266364409181,0.5057580203116266,TabulaSapiens_Pancreas,0.532159925151563,0.7300814487468503,2024,gate_coupled
0.6530886936809295,0.524994362768301,TabulaSapiens_Pancreas,0.5384346088507965,0.7367961869719365,3407,gate_coupled
0.6353074525361292,0.499551239683367,TabulaSapiens_Pancreas,0.5228170058763417,0.7311508970576402,42,nomix
0.5932983848115614,0.49119673834307265,TabulaSapiens_Pancreas,0.4618802672198246,0.7313547874867763,2024,nomix
0.6484131482006235,0.4960321176332968,TabulaSapiens_Pancreas,0.49532653358707485,0.7197598971616425,3407,nomix
0.6510342873335222,0.5229026273287992,TabulaSapiens_Pancreas,0.534784417208088,0.734806095668402,42,topology_full
0.6370784924907906,0.5035452982109819,TabulaSapiens_Pancreas,0.46261658841683184,0.7264655151470808,2024,topology_full
0.6994899404930576,0.5822441567214239,TabulaSapiens_Pancreas,0.5122437180914111,0.7451368687645081,3407,topology_full
