contrast,treatment,reference,dataset,metric,delta
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,PRJNA895163,f1_macro,0.01215008652379923
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,TabulaSapiens_Pancreas,f1_macro,0.022498662933134905
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,Blood_BoneMarrow,acc,-0.04574023849498465
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,Human_Pancreas_1,acc,0.0
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,Human_Pancreas_3,acc,0.0012458148407692438
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,Mouse_Pancreas_1,acc,-0.0016085790884718953
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,PRJNA895163,acc,0.00549821357681618
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,TabulaSapiens_Pancreas,acc,-0.015349012940398588
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,Blood_BoneMarrow,nmi,-0.005061050363472042
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,Human_Pancreas_1,nmi,-0.0007716519830673896
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,Human_Pancreas_3,nmi,0.003976925974171208
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,Mouse_Pancreas_1,nmi,-0.0037797492957815093
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,PRJNA895163,nmi,0.0012951274328812379
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,TabulaSapiens_Pancreas,nmi,0.0030150313934239614
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,Blood_BoneMarrow,ari,-0.0314430705710006
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,Human_Pancreas_1,ari,-0.0006171826237268974
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,Human_Pancreas_3,ari,0.0038774106950087983
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,Mouse_Pancreas_1,ari,-0.0022653391505498277
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,PRJNA895163,ari,-0.0006265641703076807
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,TabulaSapiens_Pancreas,ari,0.0024979887974314607
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,Blood_BoneMarrow,f1_macro,-0.02424770290649214
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,Human_Pancreas_1,f1_macro,8.87100495385873e-05
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,Human_Pancreas_3,f1_macro,0.0032192674295855594
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,Mouse_Pancreas_1,f1_macro,-0.0023858781650882843
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,PRJNA895163,f1_macro,0.002543571454608262
adaptive_weight_at_fixed_mix,adaptive_weight_only,fixed,TabulaSapiens_Pancreas,f1_macro,-0.013266588773598376
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,Blood_BoneMarrow,acc,0.02186921520513141
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,Human_Pancreas_1,acc,0.0011685655857435195
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,Human_Pancreas_3,acc,0.12648913805185713
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,Mouse_Pancreas_1,acc,-0.09758713136729213
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,PRJNA895163,acc,-0.028450443297604877
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,TabulaSapiens_Pancreas,acc,0.06732313214319441
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,Blood_BoneMarrow,nmi,0.006978102953281717
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,Human_Pancreas_1,nmi,0.003915809489253408
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,Human_Pancreas_3,nmi,0.03750366813397543
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,Mouse_Pancreas_1,nmi,-0.038159705218609896
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,PRJNA895163,nmi,-0.026615761733341625
adaptive_mix_at_adaptive_weight,gate_coupled,adaptive_weight_only,TabulaSapiens_Pancreas,nmi,0.006832347679001316
