dataset_id,variant,metric,full_minus_variant_mean,full_mean,variant_mean,full_n,variant_n,weights_frozen,training_enabled
Pollen,T_random_neighbor,ARI,-0.003168188635849889,0.95881419244786,0.9619823810837099,5,5,True,False
Pollen,T_random_neighbor,NMI,-0.0029905232243937485,0.955980409246467,0.9589709324708607,5,5,True,False
Pollen,T_random_neighbor,ACC,-0.0046511627906976605,0.9375415282392027,0.9421926910299003,5,5,True,False
Pollen,T_no_vicinal,ARI,0.0009967820147626094,0.95881419244786,0.9578174104330974,5,5,True,False
Pollen,T_no_vicinal,NMI,0.003443609580061291,0.955980409246467,0.9525367996664057,5,5,True,False
Pollen,T_no_vicinal,ACC,-0.0013289036544851252,0.9375415282392027,0.9388704318936878,5,5,True,False
Wang,F_matched_total_mix,ARI,-0.06700190617506974,0.9234252315040539,0.9904271376791236,5,5,True,False
Wang,F_matched_total_mix,NMI,-0.11271820698587742,0.859443842758815,0.9721620497446924,5,5,True,False
Wang,F_matched_total_mix,ACC,-0.015715936547956666,0.9821199705851456,0.9978359071331022,5,5,True,False
Wang,T_shuffled_gate,ARI,-0.06709436341582475,0.9234252315040539,0.9905195949198786,5,5,True,False
Wang,T_shuffled_gate,NMI,-0.11292885944465314,0.859443842758815,0.9723727022034682,5,5,True,False
Wang,T_shuffled_gate,ACC,-0.015736947158314862,0.9821199705851456,0.9978569177434604,5,5,True,False
Wang,T_fixed_mean_gate,ARI,-0.06709436341582475,0.9234252315040539,0.9905195949198786,5,5,True,False
Wang,T_fixed_mean_gate,NMI,-0.11292885944465314,0.859443842758815,0.9723727022034682,5,5,True,False
Wang,T_fixed_mean_gate,ACC,-0.015736947158314862,0.9821199705851456,0.9978569177434604,5,5,True,False
Wang,T_random_neighbor,ARI,-0.06746519198387801,0.9234252315040539,0.9908904234879319,5,5,True,False
Wang,T_random_neighbor,NMI,-0.11385700396103893,0.859443842758815,0.973300846719854,5,5,True,False
Wang,T_random_neighbor,ACC,-0.01582098959974787,0.9821199705851456,0.9979409601848934,5,5,True,False
Wang,T_no_vicinal,ARI,0.013133048603421571,0.9234252315040539,0.9102921829006323,5,5,True,False
Wang,T_no_vicinal,NMI,0.021271131000635046,0.859443842758815,0.83817271175818,5,5,True,False
Wang,T_no_vicinal,ACC,0.003088559722659978,0.9821199705851456,0.9790314108624856,5,5,True,False
breast_cancer_wisconsin_original,F_matched_total_mix,ARI,0.3625533576524732,0.8909994051380741,0.5284460474856009,5,5,True,False
breast_cancer_wisconsin_original,F_matched_total_mix,NMI,0.3113900558621976,0.8162412137186525,0.504851157856455,5,5,True,False
breast_cancer_wisconsin_original,F_matched_total_mix,ACC,0.10893118594436313,0.972181551976574,0.8632503660322108,5,5,True,False
breast_cancer_wisconsin_original,T_shuffled_gate,ARI,0.36175898213900237,0.8909994051380741,0.5292404229990717,5,5,True,False
breast_cancer_wisconsin_original,T_shuffled_gate,NMI,0.31089045015479866,0.8162412137186525,0.5053507635638539,5,5,True,False
breast_cancer_wisconsin_original,T_shuffled_gate,ACC,0.1086383601756955,0.972181551976574,0.8635431918008785,5,5,True,False
breast_cancer_wisconsin_original,T_fixed_mean_gate,ARI,0.3625533576524732,0.8909994051380741,0.5284460474856009,5,5,True,False
breast_cancer_wisconsin_original,T_fixed_mean_gate,NMI,0.3113900558621976,0.8162412137186525,0.504851157856455,5,5,True,False
breast_cancer_wisconsin_original,T_fixed_mean_gate,ACC,0.10893118594436313,0.972181551976574,0.8632503660322108,5,5,True,False
breast_cancer_wisconsin_original,T_random_neighbor,ARI,0.35831795113836784,0.8909994051380741,0.5326814539997062,5,5,True,False
breast_cancer_wisconsin_original,T_random_neighbor,NMI,0.307404911385444,0.8162412137186525,0.5088363023332085,5,5,True,False
breast_cancer_wisconsin_original,T_random_neighbor,ACC,0.10746705710102489,0.972181551976574,0.8647144948755491,5,5,True,False
breast_cancer_wisconsin_original,T_no_vicinal,ARI,0.3121147333733154,0.8909994051380741,0.5788846717647587,5,5,True,False
breast_cancer_wisconsin_original,T_no_vicinal,NMI,0.28458754440535816,0.8162412137186525,0.5316536693132944,5,5,True,False
breast_cancer_wisconsin_original,T_no_vicinal,ACC,0.09165446559297219,0.972181551976574,0.8805270863836018,5,5,True,False
reuters,F_matched_total_mix,ARI,0.001124110007781981,0.2025369880140845,0.20141287800630253,5,5,True,False
reuters,F_matched_total_mix,NMI,0.00237827790070122,0.2975937011621148,0.2952154232614136,5,5,True,False
reuters,F_matched_total_mix,ACC,-0.002068126520681335,0.5332420924574208,0.5353102189781022,5,5,True,False
reuters,T_shuffled_gate,ARI,0.0009509006022541955,0.2025369880140845,0.20158608741183032,5,5,True,False
reuters,T_shuffled_gate,NMI,0.002213887107485657,0.2975937011621148,0.29537981405462915,5,5,True,False
reuters,T_shuffled_gate,ACC,-0.0021289537712896323,0.5332420924574208,0.5353710462287105,5,5,True,False
reuters,T_fixed_mean_gate,ARI,0.0009217365521959064,0.2025369880140845,0.2016152514618886,5,5,True,False
reuters,T_fixed_mean_gate,NMI,0.002114560684814415,0.2975937011621148,0.2954791404773004,5,5,True,False
reuters,T_fixed_mean_gate,ACC,-0.0021897810218979297,0.5332420924574208,0.5354318734793188,5,5,True,False
reuters,T_random_neighbor,ARI,0.0015219434059209613,0.2025369880140845,0.20101504460816355,5,5,True,False
reuters,T_random_neighbor,NMI,0.002779337230331469,0.2975937011621148,0.29481436393178334,5,5,True,False
reuters,T_random_neighbor,ACC,-0.0017335766423358656,0.5332420924574208,0.5349756690997567,5,5,True,False
reuters,T_no_vicinal,ARI,-0.0007816843941248486,0.2025369880140845,0.20331867240820936,5,5,True,False
reuters,T_no_vicinal,NMI,0.00028606423056076746,0.2975937011621148,0.29730763693155404,5,5,True,False
reuters,T_no_vicinal,ACC,-0.0020377128953772417,0.5332420924574208,0.5352798053527981,5,5,True,False
sms_spam_collection,F_matched_total_mix,ARI,0.14015731164188505,0.8148423009775432,0.6746849893356581,5,5,True,False
sms_spam_collection,F_matched_total_mix,NMI,0.19313096581223188,0.6732284068111041,0.4800974409988722,5,5,True,False
sms_spam_collection,F_matched_total_mix,ACC,0.028263473053892096,0.9674251497005988,0.9391616766467067,5,5,True,False
sms_spam_collection,T_shuffled_gate,ARI,0.13885425546692898,0.8148423009775432,0.6759880455106142,5,5,True,False
