ACC_mean,ACC_std,ARI_mean,ARI_std,NMI_mean,NMI_std,dataset_id,n_completed,n_requested,status,training_enabled,variant,weights_frozen
0.9978569177434604,0.00039726169558123035,0.9905195949198786,0.0017499974964392522,0.9723727022034682,0.004061654113129594,Wang,5,5,completed,False,T_shuffled_gate,True
0.9978569177434604,0.00039726169558123035,0.9905195949198786,0.0017499974964392522,0.9723727022034682,0.004061654113129594,Wang,5,5,completed,False,T_fixed_mean_gate,True
0.9979409601848934,0.0004615166012498848,0.9908904234879319,0.00203414525931875,0.973300846719854,0.004825005039639128,Wang,5,5,completed,False,T_random_neighbor,True
0.9790314108624856,0.003921308328117245,0.9102921829006323,0.016149015977655366,0.83817271175818,0.02084987429626005,Wang,5,5,completed,False,T_no_vicinal,True
0.9978569177434604,0.00044940118996127787,0.9905199019770272,0.0019797497023307277,0.9724018282720364,0.0046167335506386645,Wang,5,5,completed,False,T_uniform_pseudo_loss,True
0.9978359071331022,0.0004241334013696097,0.9904271376791236,0.0018682698810877914,0.9721620497446924,0.004337064813087354,Wang,5,5,completed,False,T_edge_none,True
0.9978359071331022,0.0004241334013696097,0.9904271376791238,0.0018682698810877914,0.9721620497446924,0.004337064813087354,Wang,5,5,completed,False,T_edge_sim,True
0.9978359071331022,0.0004241334013696097,0.9904271376791236,0.0018682698810877914,0.9721620497446924,0.004337064813087354,Wang,5,5,completed,False,T_edge_sim_mutual,True
0.9978569177434604,0.00044940118996127787,0.9905199019770272,0.0019797497023307277,0.9724018282720364,0.0046167335506386645,Wang,5,5,completed,False,T_edge_sim_mutual_snn,True
0.9978569177434604,0.00044940118996127787,0.9905199019770272,0.0019797497023307277,0.9724018282720364,0.004616733550638665,Wang,5,5,completed,False,T_edge_sim_mutual_snn_distance,True
0.9978359071331022,0.0004241334013696097,0.9904271376791236,0.0018682698810877914,0.9721620497446924,0.004337064813087354,Wang,5,5,completed,False,T_beta_no_mutual,True
0.9978359071331022,0.0004241334013696097,0.9904271376791236,0.0018682698810877914,0.9721620497446924,0.004337064813087354,Wang,5,5,completed,False,T_beta_no_snn,True
0.9978359071331022,0.0004241334013696097,0.9904271376791236,0.0018682698810877914,0.9721620497446924,0.004337064813087354,Wang,5,5,completed,False,T_beta_no_perturb,True
0.972181551976574,0.0014641288433382416,0.8909994051380741,0.005596267220883634,0.8162412137186525,0.01109396149869039,breast_cancer_wisconsin_original,5,5,completed,False,T_full,True
0.8632503660322108,0.021433366085113092,0.5284460474856009,0.06212932285229958,0.504851157856455,0.03447560943302204,breast_cancer_wisconsin_original,5,5,completed,False,F_matched_total_mix,True
0.8635431918008785,0.020998895009437517,0.5292404229990717,0.060967305599383646,0.5053507635638539,0.03398208488582841,breast_cancer_wisconsin_original,5,5,completed,False,T_shuffled_gate,True
0.8632503660322108,0.021433366085113092,0.5284460474856009,0.06212932285229958,0.504851157856455,0.03447560943302204,breast_cancer_wisconsin_original,5,5,completed,False,T_fixed_mean_gate,True
0.8647144948755491,0.021181851085044497,0.5326814539997062,0.061532220199773856,0.5088363023332085,0.03604335982026813,breast_cancer_wisconsin_original,5,5,completed,False,T_random_neighbor,True
0.8805270863836018,0.013160881437331916,0.5788846717647587,0.040240622343873836,0.5316536693132944,0.03164896374100295,breast_cancer_wisconsin_original,5,5,completed,False,T_no_vicinal,True
0.8638360175695461,0.02088629958665754,0.5300772596695713,0.060591529286263573,0.5058952605556993,0.03406743032740138,breast_cancer_wisconsin_original,5,5,completed,False,T_uniform_pseudo_loss,True
0.8638360175695461,0.020886299586657543,0.5300772596695713,0.060591529286263573,0.5058952605556993,0.03406743032740138,breast_cancer_wisconsin_original,5,5,completed,False,T_edge_none,True
0.8638360175695461,0.02088629958665754,0.5300772596695713,0.060591529286263573,0.5058952605556993,0.03406743032740138,breast_cancer_wisconsin_original,5,5,completed,False,T_edge_sim,True
0.8638360175695461,0.02088629958665754,0.5300772596695713,0.060591529286263573,0.5058952605556993,0.03406743032740138,breast_cancer_wisconsin_original,5,5,completed,False,T_edge_sim_mutual,True
0.8638360175695461,0.02088629958665754,0.5300772596695713,0.060591529286263573,0.5058952605556993,0.03406743032740138,breast_cancer_wisconsin_original,5,5,completed,False,T_edge_sim_mutual_snn,True
0.8638360175695461,0.020886299586657543,0.5300772596695713,0.060591529286263573,0.5058952605556993,0.03406743032740138,breast_cancer_wisconsin_original,5,5,completed,False,T_edge_sim_mutual_snn_distance,True
0.8638360175695461,0.02088629958665754,0.5300772596695713,0.060591529286263573,0.5058952605556993,0.03406743032740138,breast_cancer_wisconsin_original,5,5,completed,False,T_beta_no_mutual,True
0.8638360175695461,0.02088629958665754,0.5300772596695713,0.060591529286263573,0.5058952605556993,0.03406743032740138,breast_cancer_wisconsin_original,5,5,completed,False,T_beta_no_snn,True
