dataset_id,seed,K_registry,K_offset,K_readout,labels_read_after_fit,ARI,NMI,ACC
ISOLET,7,26,1,27,True,0.5370918672616846,0.7500758709130103,0.6235731691676286
ISOLET,2025,26,-1,25,True,0.5346268244534284,0.7548549087742678,0.582018725150699
ISOLET,2025,26,0,26,True,0.5701094952370964,0.7707716602535317,0.6070283442349622
ISOLET,2025,26,1,27,True,0.5138955877038467,0.7421086779177325,0.6038219828139028
ISOLET,3407,26,-1,25,True,0.4554543597846943,0.721540253302726,0.5568808516095934
ISOLET,3407,26,0,26,True,0.5052034118243264,0.728683134213744,0.5786841092727972
ISOLET,3407,26,1,27,True,0.5002041067301276,0.7250666631078933,0.577914582531743
reuters,42,3,-1,2,True,0.3100944111177856,0.4351429813960446,0.6444647201946472
reuters,42,3,0,3,True,0.18970566551382403,0.28833059086885715,0.5267639902676399
reuters,42,3,1,4,True,0.4113938657341743,0.450477211916755,0.6802007299270073
reuters,123,3,-1,2,True,0.11934539584012326,0.29342412110223076,0.5570255474452555
reuters,123,3,0,3,True,0.21024424672019268,0.30301892052370555,0.5298053527980535
reuters,123,3,1,4,True,0.46703904049628875,0.48847677616899465,0.7150243309002433
reuters,7,3,-1,2,True,0.32988252280186114,0.4161987688712237,0.649330900243309
reuters,7,3,0,3,True,0.21107072890599154,0.3070616218476136,0.5320863746958637
reuters,7,3,1,4,True,0.41482180601398666,0.45406404364556113,0.6885644768856448
reuters,2025,3,-1,2,True,0.2876859413823394,0.4041976636735834,0.635036496350365
reuters,2025,3,0,3,True,0.19727542921574792,0.28895426589128975,0.5360401459854015
reuters,2025,3,1,4,True,0.43537303659977183,0.4902148572936183,0.7145681265206812
reuters,3407,3,-1,2,True,0.3392123259337457,0.44779145113050595,0.655565693430657
reuters,3407,3,0,3,True,0.20381514639557494,0.3004055959296133,0.5401459854014599
reuters,3407,3,1,4,True,0.4559844465669355,0.49570864619574745,0.7103102189781022
