dataset,role_class,arm,seed,status,ARI,NMI,L_rec,effective_changed_coordinate_rate_mean,epochs_audited,requested_change_ratio_mean,support_change_ratio_mean,total_absolute_change_mean,value_change_ratio_mean
Baron Human,registered_scrna_count,C0_MatchedRandom,7,completed_valid,0.12039823291512894,0.19371278871484557,0.7823094601899742,0.07884791740622411,30,0.07884791740622411,0.04298363359365757,2113964.409818385,0.022707741687374276
Baron Human,registered_scrna_count,C1_ValueOnly,42,completed_valid,0.14461614294135758,0.2442446796701587,0.8268339561366594,0.07884791740622411,30,0.07884791740622411,0.14537277393207904,10446467.257233588,0.05116825424999014
Baron Human,registered_scrna_count,C1_ValueOnly,123,completed_valid,0.14630519915278495,0.24457252691734177,0.8282711956856759,0.07884791740622411,30,0.07884791740622411,0.14593110899104644,10455891.127144178,0.050969097592000946
Baron Human,registered_scrna_count,C1_ValueOnly,7,completed_valid,0.14173649367633204,0.24671813507406484,0.8272755329192227,0.07884791740622411,30,0.07884791740622411,0.14559424057310774,10469407.695254771,0.051034394351753234
Baron Human,registered_scrna_count,C2_SupportOnly,42,completed_valid,0.43982756243293886,0.5835536951877963,0.9143544549053907,0.07884791740622411,30,0.07884791740622411,0.07884791740622411,7216132.430147073,0.0
Baron Human,registered_scrna_count,C2_SupportOnly,123,completed_valid,0.4023137452737275,0.5687490044329424,0.9072324378845071,0.07884791740622411,30,0.07884791740622411,0.07884791740622411,7250711.596083785,0.0
Baron Human,registered_scrna_count,C2_SupportOnly,7,completed_valid,0.30763437297289387,0.5069978701784918,0.9178027280645672,0.07884791740622411,30,0.07884791740622411,0.07884791740622411,7230493.73208391,0.0
Baron Human,registered_scrna_count,C3_MixedMatched,42,completed_valid,0.2905950568612187,0.5197037077921505,0.9166837831232452,0.07884791740622411,30,0.07884791740622411,0.08491318211848699,7439982.918808953,0.0
Baron Human,registered_scrna_count,C3_MixedMatched,123,completed_valid,0.4246334823042944,0.5838980280199614,0.9171273168086046,0.07884791740622411,30,0.07884791740622411,0.08493478335897132,7444961.608317149,0.0
Baron Human,registered_scrna_count,C3_MixedMatched,7,completed_valid,0.3561450817642717,0.5419150282720893,0.9203283381651117,0.07884791740622411,30,0.07884791740622411,0.08496113009308565,7445375.970914716,0.0
