dataset,seed,config,stage2_baseline,ari_current,ari_stage2,ari_delta,nmi_current,nmi_stage2,nmi_delta,acc_current,acc_stage2,acc_delta,fmi_current,fmi_stage2,fmi_delta,edge_entropy_current,edge_entropy_stage2,edge_entropy_delta,effective_neighbor_count_current,effective_neighbor_count_stage2,effective_neighbor_count_delta,rank_loss_current,rank_loss_stage2,rank_loss_delta
balance_scale,42,self_null_lam0.5_rm1.0_si0.3,self_null_lambda01,0.15536035027120643,0.09091740285674416,0.06444294741446227,0.13720962050760963,0.08007512694328028,0.05713449356432934,0.52,0.4848,0.03520000000000001,0.4768630323050696,0.4375979104612536,0.039265121843815975,1.4015413522720337,1.5730772018432617,-0.17153584957122803,4.112448215484619,4.823913097381592,-0.7114648818969727,0.3987308001766602,0.021147530413387967,0.3775832697632722
balance_scale,123,self_null_lam0.5_rm1.0_si0.3,self_null_lambda01,0.1780831784962723,0.11023000206492983,0.06785317643134248,0.15241741175272217,0.09005176512151221,0.062365646631209956,0.5712,0.488,0.08320000000000005,0.4959221652683821,0.44825129143294634,0.04767087383543578,1.4069421291351318,1.5800169706344604,-0.1730748414993286,4.13210391998291,4.856882572174072,-0.7247786521911621,0.38989124024907745,0.018128925344596307,0.37176231490448114
balance_scale,7,self_null_lam0.5_rm1.0_si0.5,self_null_lambda01,0.09570815865220583,0.10378565787077622,-0.008077499218570386,0.09021101427762629,0.0926778644132324,-0.002466850135606116,0.464,0.4864,-0.022399999999999975,0.44095492539883535,0.4448936171601296,-0.003938691761294244,1.385642170906067,1.566122055053711,-0.18047988414764404,4.056160926818848,4.7910943031311035,-0.7349333763122559,0.3926763297369083,0.02021766297596817,0.37245866676094014
balance_scale,42,self_null_lam0.5_rm1.0_si0.5,self_null_lambda01,0.16148347379867947,0.09091740285674416,0.07056607094193532,0.14146536421250083,0.08007512694328028,0.06139023726922055,0.5248,0.4848,0.040000000000000036,0.48069896708280047,0.4375979104612536,0.04310105662154684,1.401490569114685,1.5730772018432617,-0.17158663272857666,4.112262725830078,4.823913097381592,-0.7116503715515137,0.39875094033777714,0.021147530413387967,0.3776034099243892
balance_scale,123,self_null_lam0.5_rm1.0_si0.5,self_null_lambda01,0.1780831784962723,0.11023000206492983,0.06785317643134248,0.15241741175272217,0.09005176512151221,0.062365646631209956,0.5712,0.488,0.08320000000000005,0.4959221652683821,0.44825129143294634,0.04767087383543578,1.4069169759750366,1.5800169706344604,-0.17309999465942383,4.132009983062744,4.856882572174072,-0.7248725891113281,0.3898952612032493,0.018128925344596307,0.371766335858653
flame,7,edge_only_lam0.3_rm0.5,self_null_lambda01,0.49955115517715365,0.5234398520832709,-0.02388869690611728,0.4301272113590202,0.4469057665089211,-0.016778555149900898,0.8541666666666666,0.8625,-0.008333333333333415,0.7592350984001888,0.7711059509808914,-0.01187085258070264,1.5916709899902344,1.60499906539917,-0.013328075408935547,4.912753582000732,4.977879524230957,-0.06512594223022461,0.31600036807358267,0.04482719241641462,0.27117317565716803
flame,42,edge_only_lam0.3_rm0.5,self_null_lambda01,0.4997914953192624,0.51170062704509,-0.011909131725827582,0.4762295097749414,0.48413629790455054,-0.007906788129609155,0.8541666666666666,0.8583333333333333,-0.004166666666666652,0.7585425462553981,0.7643480766667312,-0.005805530411333137,1.5898323059082031,1.6037490367889404,-0.013916730880737305,4.903753757476807,4.971675395965576,-0.06792163848876953,0.3109190918505192,0.04146599099040031,0.26945310086011887
flame,123,edge_only_lam0.3_rm0.5,self_null_lambda01,0.5111724059790677,0.5111724059790677,0.0,0.42301368895254887,0.42301368895254887,0.0,0.8583333333333333,0.8583333333333333,0.0,0.7658690107367746,0.7658690107367746,0.0,1.5925869941711426,1.6054328680038452,-0.012845873832702637,4.917267799377441,4.980034351348877,-0.06276655197143555,0.3138550754636526,0.04564360305666924,0.26821147240698334
flame,7,edge_only_lam0.3_rm1.0,self_null_lambda01,0.49955115517715365,0.5234398520832709,-0.02388869690611728,0.4301272113590202,0.4469057665089211,-0.016778555149900898,0.8541666666666666,0.8625,-0.008333333333333415,0.7592350984001888,0.7711059509808914,-0.01187085258070264,1.5877739191055298,1.60499906539917,-0.017225146293640137,4.8941168785095215,4.977879524230957,-0.08376264572143555,0.6873630866408348,0.04482719241641462,0.6425358942244201
flame,42,edge_only_lam0.3_rm1.0,self_null_lambda01,0.4997914953192624,0.51170062704509,-0.011909131725827582,0.4762295097749414,0.48413629790455054,-0.007906788129609155,0.8541666666666666,0.8583333333333333,-0.004166666666666652,0.7585425462553981,0.7643480766667312,-0.005805530411333137,1.5860141515731812,1.6037490367889404,-0.017734885215759277,4.885529041290283,4.971675395965576,-0.08614635467529297,0.6821152739226818,0.04146599099040031,0.6406492829322815
