analysis_d,analysis_feature_sampled,analysis_n,analysis_pca_dim,analysis_sampled,category,components_at_1nn_scale,components_at_median_knn_scale,components_at_p90_knn_scale,cv_knn_cosine_distance,cycle_rank_at_1nn_scale,cycle_rank_at_median_knn_scale,cycle_rank_at_p90_knn_scale,d,dataset,dataset_key,effective_neighbor_proxy,feature_error,log_nd,manifest,mean_knn_cosine_distance,mean_mutual_ratio,mean_snn,median_1nn_cosine_distance,metadata_k,n,p95_knn_cosine_distance,source_path,sparse_graph_components,sparse_graph_cycle_rank,sparse_graph_edge_count,sparse_graph_largest_component_fraction,staticgate_full_nomix_ari,tda_h0_merge_count,tda_h0_mst_edge_count,tda_h0_q50_death_norm,tda_h0_q90_death_norm,tda_h0_sparse_components,tda_h0_tail10_share,tda_h0_total_persistence_norm,v11_full_nomix_ari,v12_full_nomix_ari,v13_full_nomix_ari,v14_full_nomix_ari,v9_ari_vs_ahdpc,v9_ari_vs_hdpc,v9_full_ari,v9_full_nomix_ari,v9_full_random_ari,v9_full_static_ari,v9_nomix_ari,v9_paper_protocol,v9_random_ari,v9_static_ari
512,True,1676,50,False,result_dataset_pool,894,319,5,0.4862122752364107,5284.0,8598.0,16284.0,23341,Quake_Smart-seq2_Lung,quakesmartseq2lung,0.43431709592048434,,7.592393472909286,dataset_root_scan,0.29570441297955613,0.3429594272076372,0.13902147971360382,0.2560557425022125,,1676,0.5076695263385773,datasets/Quake_Smart-seq2_Lung.npz,1,18580.0,20255,1.0,-0.0433841856722732,1675,1675,1.0447555548572156,1.6170799965781348,1,0.17922918531395293,1672.0818519507834,,,,,,,,,,,,,,
512,True,4000,50,True,result_dataset_pool,2271,766,14,0.3687864398841293,4202.0,16180.0,33309.0,4096,reuters,reuters,0.3945542906736694,,7.4303217524997685,dataset_root_scan,0.29969537656605244,0.51725,0.14883789682539683,0.23929616808891296,,6576,0.4728853672742844,datasets/reuters.npz,1,38742.0,42741,1.0,-0.0045986013902701295,3999,3969,1.0711220835008937,1.660967386670589,1,0.16692671682480292,4335.290572563714,,,,,,,,,,,,,,
7,False,3810,7,False,uci,2302,528,46,2.3375713235318196,869.0,12016.0,26526.0,7,rice,rice,0.37359400956099775,,4.426023015689876,datasets/AHDPC/MANIFEST.json,0.003924045143477873,0.7065616797900263,0.24621443152939215,0.0011766552925109863,2,3810,0.01187676191329955,datasets/AHDPC/processed/rice.npz,1,30848.0,34657,1.0,,3809,3809,1.2430474646674434,4.416757003191329,1,0.4399156753207963,8528.069094777367,,,,,-0.26938223207610557,-0.1792151265470775,,,,,,True,,
7,False,3810,7,False,related_manifest,2302,528,46,2.3375710293858125,869.0,12016.0,26526.0,7,rice_dataset_cammeo_and_osmancik,ricedatasetcammeoandosmancik,0.373593873364588,,4.426023015689876,datasets/AHDPC_related_advantage/MANIFEST.json,0.003924045446976589,0.7065616797900263,0.24621443152939215,0.0011766552925109863,2,3810,0.01187676191329955,datasets/AHDPC_related_advantage/rice_dataset_cammeo_and_osmancik.npz,1,30848.0,34657,1.0,,3809,3809,1.2430474646674434,4.416757003191329,1,0.4399156242325259,8528.068588217417,,-0.03969049074408959,0.0,,,,,,,,,,,
36,False,4000,36,True,related_manifest,2050,1512,146,1.0510035581761747,15061.0,20492.0,38286.0,36,satellite_image,satelliteimage,0.3785842382726258,,5.364851052007693,datasets/AHDPC_related_advantage/MANIFEST.json,0.048294291278719904,0.3978,0.13824126984126986,0.024683892726898193,6,6435,0.1498701363801956,datasets/AHDPC_related_advantage/satellite_image.npz,1,43552.0,47551,1.0,,3999,3999,1.0328981206248324,3.548558775448112,1,0.34540223937871317,6532.811188355263,,-0.003212097308917361,-0.0019157922514764225,,,,,,,,,,,
7,False,210,7,False,related_manifest,126,34,3,1.2518473796050316,29.0,673.0,1547.0,7,seeds,seeds,0.35912484399562117,,3.167317334748176,datasets/AHDPC_related_advantage/MANIFEST.json,0.041064278682072956,0.6552380952380953,0.2693990929705215,0.01018214225769043,3,210,0.13350613117218016,datasets/AHDPC_related_advantage/seeds.npz,1,1838.0,2047,1.0,,209,209,1.2769101084131407,5.423938698574005,1,0.40142667110235125,527.6926089399864,,-0.0098129871318835,-0.011562094134279027,,,,,,,,,,,
2,False,266,2,False,synthetic,182,20,1,1.6559785030166971,27.0,791.0,1726.0,2,smile,smile,0.41027368236249145,,2.7259116322950483,datasets/AHDPC/MANIFEST.json,0.0009874399443318073,0.8233082706766918,0.42084974340613424,2.3096799850463867e-05,3,266,0.00454483330249786,datasets/AHDPC/processed/smile.npz,1,2008.0,2273,1.0,,265,260,3.6438709677419356,66.32051612903226,1,0.5926295158129069,5332.516129032258,,,,,-0.1858771597787494,-0.1858771597787494,,,,,,True,,
500,False,835,50,False,result_dataset_pool,544,9,1,0.5054227336410898,683.0,2796.0,6093.0,500,sms_spam_collection,smsspamcollection,0.4439741292081578,,5.620656479819621,dataset_root_scan,0.28911075956093335,0.671377245508982,0.22172131926622946,0.18258845806121826,,835,0.49402416348457334,datasets/sms_spam_collection.npz,1,7178.0,8012,1.0,-0.024325547594853725,834,759,1.3214479947612496,1.949451837643137,1,0.18360105103085927,990.2454750163711,,,,,,,,,,,,,,
57,False,4000,50,True,result_dataset_pool,2429,829,36,0.826499769219366,5470.0,15695.0,34254.0,57,spambase,spambase,0.47840205847200823,,5.418727088937287,dataset_root_scan,0.13752228393554689,0.4748,0.33875555555555553,0.05286812782287598,,4601,0.33454680442810053,datasets/spambase.npz,2,39938.0,43936,0.995,0.02645700895680525,3998,3709,1.7789409005840042,4.732831630927418,2,0.27308244346686966,8259.714292317753,0.004696631405787854,,,,,,,,,,,,,
44,False,80,44,False,related_manifest,52,2,1,0.17628432691047138,3.0,223.0,531.0,44,spectf_heart,spectfheart,0.3720947905078473,,3.546542663478131,datasets/AHDPC_related_advantage/MANIFEST.json,0.5392462262511253,0.67,0.1466964285714286,0.43831926584243774,2,80,0.6951360046863555,datasets/AHDPC_related_advantage/spectf_heart.npz,1,630.0,709,1.0,,79,79,1.0605007467591143,1.2964674071568936,1,0.13185255169033375,84.43753584042594,,0.033308159747957006,0.0,0.0,,,,,,,,,,
