dataset,n_samples,n_features,n_clusters,variant,seed,gpu,epochs,mask_ratio,neighbor_k,hidden_size,runtime_seconds,acc,nmi,ari
synthetic_control.npz,600,60,6,topogate_opt,42,5,40,0.3,10,128,3.065824031829834,0.5683333333333334,0.7912326496015998,0.611038939603663
tamilnadu-electricity.npz,10000,2,20,topogate_opt,42,4,40,0.3,10,128,42.93877935409546,0.0656,0.005951606587637206,-0.0001387683039499412
tr45.wc.npz,676,8261,9,topogate_opt,42,4,40,0.3,10,128,7.024296522140503,0.2692307692307692,0.18413585201625635,0.02050273500008128
turkish_music_emotion.npz,400,50,4,topogate_opt,42,5,40,0.3,10,128,2.382051467895508,0.5775,0.3209378879940485,0.2911553868859372
user_knowledge_modeling.npz,258,5,4,topogate_opt,42,5,40,0.3,10,128,1.9222819805145264,0.43410852713178294,0.1526746465983124,0.10643962546042907
vehicle.npz,846,18,4,topogate_opt,42,4,40,0.3,10,128,3.9317612648010254,0.3404255319148936,0.11485901981390258,0.07505595723720515
wall-robot-navigation.npz,5456,24,4,topogate_opt,42,5,40,0.3,10,128,18.464420318603516,0.4239369501466276,0.10099669803687167,0.053647243796172514
water_quality.npz,2011,9,2,topogate_opt,42,5,40,0.3,10,128,7.56456995010376,0.5096966683242168,0.0001905609728867593,-0.00011535625324878457
weather.npz,365,192,7,topogate_opt,42,5,40,0.3,10,128,2.529207944869995,1.0,1.0,1.0
website_phishing.npz,1353,9,3,topogate_opt,42,4,40,0.3,10,128,5.2127344608306885,0.6614929785661493,0.2676358642009287,0.33000279081787665
wine.npz,178,13,3,topogate_opt,42,5,40,0.3,10,128,0.9844064712524414,0.9606741573033708,0.8502616985561304,0.8783462045398086
wine_customer.npz,178,13,3,topogate_opt,42,4,40,0.3,10,128,1.1890840530395508,0.9606741573033708,0.8502616985561304,0.8783462045398086
wine_quality.npz,4873,11,5,topogate_opt,42,4,40,0.3,10,128,18.720537424087524,0.34085778781038373,0.08425771224817767,0.0536813406503047
wireless_indoor_localization.npz,2000,7,4,topogate_opt,42,4,40,0.3,10,128,7.761709690093994,0.9245,0.8126053502181749,0.8077676435226563
world12d.npz,150,12,5,topogate_opt,42,4,40,0.3,10,128,3.917935609817505,0.7266666666666667,0.6969451422954848,0.670012562044765
wos.npz,9997,4096,7,topogate_opt,42,4,40,0.3,10,128,49.03791666030884,0.46663999199759926,0.34718124714761667,0.2569962838489659
yeast.npz,1459,8,8,topogate_opt,42,4,40,0.3,10,128,5.847164154052734,0.4043865661411926,0.2161129587733151,0.11406511856809026
zoo.npz,101,16,7,topogate_opt,42,4,40,0.3,10,128,1.2393641471862793,0.8811881188118812,0.8969744818293259,0.8438408062208421
