algorithm,dataset_idx,dataset_name,dataset_type,acc,nmi,ari,time
autosc,65,heart_disease.npz,tabular,0.336700,0.165697,0.059267,1.681792
autosc,66,ecoli.npz,tabular,0.596330,0.526117,0.446275,1.713321
autosc,67,extyaleb.npz,tabular,0.971787,0.927337,0.929945,1.454540
autosc,68,breast_cancer_coimbra.npz,tabular,0.551724,0.006825,0.002107,0.690607
autosc,69,student_grade.npz,tabular,0.683544,0.015633,0.045256,1.598147
autosc,70,human_stress_detection.npz,tabular,0.526237,0.399369,0.298707,28.739413
autosc,71,fraud_detection_bank.npz,tabular,0.742574,0.017256,0.029796,545.993724
autosc,72,pen_based_recognition_of_handwritten_digits.npz,tabular,0.882706,0.830142,0.770244,289.948644
autosc,73,diabetic_retinopathy_debrecen.npz,tabular,0.507385,0.003505,-0.002739,9.170760
autosc,74,pistachio.npz,tabular,0.603818,0.016171,0.034301,28.199832
autosc,75,turkish_music_emotion.npz,tabular,0.282500,0.022227,0.001322,2.138647
autosc,76,parkinsons.npz,tabular,0.723077,0.015863,-0.036772,0.901916
autosc,77,weather.npz,tabular,1.000000,1.000000,1.000000,2.537589
autosc,78,blood_transfusion_service_center.npz,tabular,0.741979,0.004911,-0.021496,5.406416
autosc,79,mfeat-karhunen.npz,tabular,0.676000,0.769253,0.665856,27.882487
autosc,80,mfeat-factors.npz,tabular,0.939000,0.889008,0.873525,28.008463
autosc,81,wall-robot-navigation.npz,tabular,0.406342,0.016738,-0.001396,172.458174
autosc,82,Waveform.npz,tabular,0.500600,0.370335,0.253267,130.225105
autosc,83,gas-drift.npz,tabular,0.242500,0.035924,0.000709,545.351432
autosc,84,mfeat-morphological.npz,tabular,0.636500,0.653053,0.537639,28.021368
autosc,85,JapaneseVowels.npz,tabular,0.799317,0.817674,0.764439,482.052433
autosc,86,rmftsa_sleepdata.npz,tabular,0.333008,0.038845,0.026742,12.516516
autosc,87,first-order-theorem-proving.npz,tabular,0.373161,0.044163,-0.023672,263.625451
autosc,88,gina_prior2.npz,tabular,0.573818,0.570310,0.443310,84.224789
autosc,89,fabert.npz,tabular,0.300838,0.073677,0.029540,384.138585
