dataset,variant,seed,n_samples,n_features,n_clusters,k_protocol,labels_used_during_fit,source_sha256,head_ari,kmeans_ari,nmi,silhouette,final_gate,final_target_gate,mean_gate,mean_target_gate,mean_graph_loss,final_graph_loss,mean_tda_prior,final_tda_prior,h0_merge_count,tda_scale,tda_nonzero_fraction,graph_edge_change_fraction,train_seconds,summary_path
flame,V11_full,7,240,2,2,benchmark_oracle_from_y,False,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.4763356608807909,0.49976146542666416,0.43430471955212946,0.46828868985176086,0.02771063521504402,0.005489049945026636,0.08629083610139787,0.004501797811826691,0.08345886578317732,0.02039974182844162,0.0,0.0,nan,nan,0.0,0.03791666666666667,6.739216566085815,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/flame__V11_full__seed7/summary.json
flame,V11_full,42,240,2,2,benchmark_oracle_from_y,False,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.3184717833855562,0.37786847329508017,0.2806399882657479,0.37839755415916443,0.04997362941503525,0.0048283603973686695,0.12492710915394127,0.0036216841952409597,0.13095523416996002,0.042827073484659195,0.0,0.0,nan,nan,0.0,0.024583333333333332,6.87459659576416,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/flame__V11_full__seed42/summary.json
flame,V11_full,123,240,2,2,benchmark_oracle_from_y,False,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.3881487946511562,0.3881487946511562,0.3903786647950032,0.3742927312850952,0.05127289146184921,0.005049125291407108,0.13302936661057174,0.0039801769191399215,0.14074361738748847,0.043827448040246964,0.0,0.0,nan,nan,0.0,0.01375,6.779270887374878,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/flame__V11_full__seed123/summary.json
flame,V11_nomix,7,240,2,2,benchmark_oracle_from_y,False,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.4763356608807909,0.48799677398902636,0.43430471955212946,0.4767804741859436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,1.452805519104004,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/flame__V11_nomix__seed7/summary.json
flame,V11_nomix,42,240,2,2,benchmark_oracle_from_y,False,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.3184717833855562,0.37786847329508017,0.2806399882657479,0.39136067032814026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,1.4383995532989502,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/flame__V11_nomix__seed42/summary.json
flame,V11_nomix,123,240,2,2,benchmark_oracle_from_y,False,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.3881487946511562,0.37771905058300437,0.3903786647950032,0.3700723350048065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,1.4477806091308594,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/flame__V11_nomix__seed123/summary.json
flame,V11_tda_h0_mst,7,240,2,2,benchmark_oracle_from_y,False,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.4763356608807909,0.49976146542666416,0.43430471955212946,0.4685395658016205,0.028864260762929916,0.005543550942093134,0.08083720481954515,0.004521999851567671,0.08048850714694708,0.0258027296513319,0.07057103924453259,0.09293005615472794,239.0,0.04206604830105873,0.24083503054989816,0.035833333333333335,6.993890285491943,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/flame__V11_tda_h0_mst__seed7/summary.json
flame,V11_tda_h0_mst,42,240,2,2,benchmark_oracle_from_y,False,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.3184717833855562,0.37786847329508017,0.2806399882657479,0.3785031735897064,0.053817473351955414,0.004862036090344191,0.12052393020130694,0.0036361403996124863,0.127918237214908,0.050390370190143585,0.0701979692094028,0.092600017786026,239.0,0.04206604830105873,0.23997970573313038,0.025,6.819585800170898,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/flame__V11_tda_h0_mst__seed42/summary.json
flame,V11_tda_h0_mst,123,240,2,2,benchmark_oracle_from_y,False,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.3881487946511562,0.3881487946511562,0.3903786647950032,0.3743886947631836,0.058180633932352066,0.005079980008304119,0.13701716717332602,0.004001450951909647,0.14795203655958175,0.053654685616493225,0.06939605129882694,0.09180817008018494,239.0,0.04206604830105873,0.23792756539235413,0.014583333333333334,6.896547555923462,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/flame__V11_tda_h0_mst__seed123/summary.json
flame,V11_tda_fixed_filtration,7,240,2,2,benchmark_oracle_from_y,False,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,0.4763356608807909,0.49976146542666416,0.43430471955212946,0.4685458540916443,0.028371330350637436,0.005566047970205545,0.08121105262544007,0.004539432196179405,0.08104335281532257,0.025131208822131157,0.21639678999781609,0.2846757471561432,239.0,0.04206604830105873,0.6384928716904277,0.035416666666666666,6.844827175140381,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/flame__V11_tda_fixed_filtration__seed7/summary.json
