scope,left,right,metric,n,mean_delta,median_delta,std_delta,wins,ties,losses,wilcoxon_p,paired_t_p
spect_heart,V11_tda_fixed_filtration,V11_full,mean_graph_loss,3,0.0065987496753223225,0.006385456374846402,0.000963208255450375,3,0,0,0.25,0.007027469701588452
banknote,V11_tda_fixed_filtration,V11_full,head_ari,3,-5.43920972153741e-05,0.00020889023734976721,0.0005137887753729886,2,0,1,1.0,0.871419028400415
banknote,V11_tda_fixed_filtration,V11_full,kmeans_ari,3,-0.0018464270834593316,-0.0011230228694117331,0.0025327768716905514,1,0,2,0.5,0.3339851844878392
banknote,V11_tda_fixed_filtration,V11_full,nmi,3,-1.8980610794460187e-05,0.00018637249569329866,0.0003883272759743444,2,0,1,1.0,0.9402440512889364
banknote,V11_tda_fixed_filtration,V11_full,silhouette,3,-0.0005350609620412191,-0.0009425580501556396,0.0007126302447589669,1,0,2,0.5,0.3231150379591601
banknote,V11_tda_fixed_filtration,V11_full,final_gate,3,0.002971477547867431,0.003103646294524273,0.0003649084408243944,3,0,0,0.25,0.004989326313932063
banknote,V11_tda_fixed_filtration,V11_full,mean_gate,3,0.0020840641764354796,0.002179532333199556,0.0002201267185840726,3,0,0,0.25,0.003698177310238827
banknote,V11_tda_fixed_filtration,V11_full,mean_graph_loss,3,0.006366736404339059,0.006458389382654181,0.00033018590338340534,3,0,0,0.25,0.0008953204580554939
flame,V11_tda_fixed_filtration,V11_full,head_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
flame,V11_tda_fixed_filtration,V11_full,kmeans_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
flame,V11_tda_fixed_filtration,V11_full,nmi,3,0.0,0.0,0.0,0,3,0,1.0,nan
flame,V11_tda_fixed_filtration,V11_full,silhouette,3,0.00014010071754455566,0.00011610984802246094,0.00010710263485358354,3,0,0,0.25,0.15169157192297042
flame,V11_tda_fixed_filtration,V11_full,final_gate,3,0.003528573860724767,0.004162106662988663,0.0026094438005674512,3,0,0,0.25,0.14395082528286257
flame,V11_tda_fixed_filtration,V11_full,mean_gate,3,-0.0019348283375923842,-0.0037380215246230336,0.00433741975961543,1,0,2,0.5,0.5205545367432991
flame,V11_tda_fixed_filtration,V11_full,mean_graph_loss,3,0.0005278030876070261,-0.0020402228459715788,0.004776649302493899,1,0,2,1.0,0.8658924294207015
vehicle,V11_tda_fixed_filtration,V11_full,head_ari,3,6.552369789423566e-05,0.0,0.00011349037385261002,1,2,0,1.0,0.4226497308103742
vehicle,V11_tda_fixed_filtration,V11_full,kmeans_ari,3,-0.00020089626372943778,0.0,0.00034796253583014284,0,2,1,1.0,0.4226497308103742
vehicle,V11_tda_fixed_filtration,V11_full,nmi,3,7.487388990465305e-05,0.0,0.00012968538147517753,1,2,0,1.0,0.4226497308103742
vehicle,V11_tda_fixed_filtration,V11_full,silhouette,3,-3.793835639953613e-05,-9.500980377197266e-05,0.00011998279897547046,1,0,2,0.75,0.63887170988487
