acc,ari,dataset,elapsed,error,fmi,n_clusters,n_features,n_samples,nmi,seed,source_sha256,status,variant
0.5142857142857142,0.2870156086721414,image_segment,0.7229626178741455,,0.3920439280095194,7,19,210,0.3899380497636788,7,ef764bd1d712b44a6d4886f6b5662e8f4b700d4b858c8515a3fe648df0f29ff9,completed,v9_full
0.5,0.24899421587120396,image_segment,0.278613805770874,,0.35943172912924676,7,19,210,0.37013716142373004,42,ef764bd1d712b44a6d4886f6b5662e8f4b700d4b858c8515a3fe648df0f29ff9,completed,v9_nomix
0.47619047619047616,0.2388800433619025,image_segment,0.278339147567749,,0.35464315637816357,7,19,210,0.3900541666764065,123,ef764bd1d712b44a6d4886f6b5662e8f4b700d4b858c8515a3fe648df0f29ff9,completed,v9_nomix
0.5047619047619047,0.2665060088367512,image_segment,0.30857038497924805,,0.376706888078769,7,19,210,0.38246635951044816,7,ef764bd1d712b44a6d4886f6b5662e8f4b700d4b858c8515a3fe648df0f29ff9,completed,v9_nomix
0.5,0.2404928290931115,image_segment,1.1144351959228516,,0.3603254974056379,7,19,210,0.36860733454433453,42,ef764bd1d712b44a6d4886f6b5662e8f4b700d4b858c8515a3fe648df0f29ff9,completed,v9_static
0.5,0.28142157661240097,image_segment,0.7079856395721436,,0.3869953790560601,7,19,210,0.3875387839276475,123,ef764bd1d712b44a6d4886f6b5662e8f4b700d4b858c8515a3fe648df0f29ff9,completed,v9_static
0.5142857142857142,0.27382582410777984,image_segment,0.6697008609771729,,0.3803400736932272,7,19,210,0.3817417146538022,7,ef764bd1d712b44a6d4886f6b5662e8f4b700d4b858c8515a3fe648df0f29ff9,completed,v9_static
0.46190476190476193,0.23039709860389718,image_segment,0.6059608459472656,,0.3416424399571203,7,19,210,0.36267137396515403,42,ef764bd1d712b44a6d4886f6b5662e8f4b700d4b858c8515a3fe648df0f29ff9,completed,v9_random
0.4666666666666667,0.2409227413982915,image_segment,0.6057038307189941,,0.35238465958934256,7,19,210,0.34530329633010354,123,ef764bd1d712b44a6d4886f6b5662e8f4b700d4b858c8515a3fe648df0f29ff9,completed,v9_random
0.5142857142857142,0.2856206396029405,image_segment,0.6042475700378418,,0.39120667151709027,7,19,210,0.3901134247258311,7,ef764bd1d712b44a6d4886f6b5662e8f4b700d4b858c8515a3fe648df0f29ff9,completed,v9_random
